Epic,Summary,Description,Owner,Story Points,Dependencies,Acceptance Criteria
Client Integration,Mobile permission and token capture,"Request notification permissions, obtain FCM token, and call register API on login/session restore.",Mobile,8,Register FCM token API,"First login registers token; permission-denied path is handled gracefully; token registration telemetry is emitted."
Client Integration,Mobile token refresh and logout revocation,"Send refreshed tokens automatically and revoke token on logout.",Mobile,5,Support token refresh rotation,"Token refresh updates backend without duplicates; logout revokes token; stale token stops receiving pushes."
Client Integration,Foreground and background notification handlers,"Implement app behavior for foreground banners, background receipt, and tap-to-open deep links.",Mobile,8,Add queued push worker job,"Foreground notifications show in-app UX; tapping background notifications deep-links correctly; killed-app open path lands on destination."
Client Integration,Web push compatibility decision ADR,"Keep current VAPID web push path in first release and document if/when to unify web on FCM.",Frontend/Backend,2,Introduce push provider abstraction,"No regression to existing browser push; architecture decision record is published with rationale and follow-up steps."
Feature Wiring,Announcement publish to FCM,"Wire event announcement publish flow to push dispatch for eligible recipients.",Messaging Backend,5,Add queued push worker job,"Audience filters are enforced server-side; payload is safe/minimal; delivery logs include fcm outcomes."
Feature Wiring,Guest chat and host reply alerts,"Wire guest chat/direct host reply flows to push dispatch using private-safe payload strategy.",Messaging Backend,8,Announcement publish to FCM,"Private notifications do not expose message bodies by default; open-time auth re-check is required; no cross-thread leakage."
Feature Wiring,Staff operational push alerts (revised scope),"Build a net-new staff/organizer push channel: today's push path (GuestPushSubscription, send_event_push) is guest-only, so this needs its own device-token actor scope (actor_type=staff) and a new recipient-resolution path off EventUser/role assignment rather than Guest — not just a new notification class layered on an existing staff channel, because none exists yet.",Backend/Product,8,Add queued push worker job,"Staff device tokens register under actor_type=staff; recipients are resolved via EventUser role assignment, not Guest; only assigned staff for scanner/check-in workflows receive alerts; feature can be toggled per event; incorrect role recipients are blocked."
Controls and Safety,Notification preference model and API,"Add per-user/guest push preferences by category, including sensible defaults.",Backend/Frontend/Mobile,8,Announcement publish to FCM,"Preferences are saved and enforced at dispatch; defaults are documented; updates apply without restart."
Controls and Safety,Quiet hours and timezone suppression,"Add quiet-hours evaluation for non-urgent pushes using event or user timezone.",Backend,5,Notification preference model and API,"Non-urgent pushes are suppressed in quiet window; urgent classes can bypass with explicit policy; behavior is auditable."
Controls and Safety,Rate limits and abuse controls,"Add per-event and per-actor push throttles with circuit-breaker style protection.",Backend/Platform,5,Add queued push worker job,"Burst spam is throttled; throttling metrics are emitted; critical system notifications are not starved."
Observability and Ops,FCM dashboards and KPIs,"Add dashboards for token health, send success by platform, invalid token trend, queue depth, and latency.",Platform,5,Add queued push worker job,"Dashboard panels exist and are populated in staging; key KPIs are visible per environment and event cohort."
Observability and Ops,Alerting and incident runbook,"Add alerts for failure spikes, queue backlog, and invalid-token surges with operator runbook.",Platform/SRE,3,FCM dashboards and KPIs,"Alerts fire in test scenarios; runbook includes triage, rollback, and replay instructions; ownership is assigned."
Observability and Ops,Credential security and rotation,"Implement secret handling, redaction, and rotation procedure for FCM credentials.",Platform/Security,3,Add FCM configuration and startup validation,"No raw private key values appear in logs; rotation is documented and tested; least privilege is enforced."
Rollout and QA,Feature flags and cohort controls,"Add kill switch and cohort-based enablement for FCM by environment and event groups.",Backend/Platform,3,Add queued push worker job,"Global kill switch works instantly; cohort targeting works for canary events; fallback to existing channels remains intact."
Rollout and QA,End-to-end QA matrix execution,"Run mobile/web/platform scenarios: permission states, foreground/background, token rotation, privacy, and delivery outcomes.",QA,8,Feature flags and cohort controls,"QA pass report covers Android/iOS/web baseline; privacy tests pass; known issues are tracked with severity."
Rollout and QA,Production canary and expansion,"Execute staged rollout: internal events, limited canary events, then broader expansion based on KPI thresholds.",Product/Engineering,5,End-to-end QA matrix execution,"Canary KPIs meet success thresholds; go/no-go checklist is completed; staged expansion plan is approved."
